minimum,preferred
bachelor,machine learning engineer
computer science,Elasticsearch
engineering,Kubernetes
mathematics,Docker
information systems,Redis
Software Development Life Cycle,Apache Kafka
classification,SQL
Natural Language Processing,NoSQL
NLP,Infrastructure as Code
computer vision,AWS Lambda
recommendation systems,Apache Spark
forcasting,CI/CD
translating business requirements,Github Actions
developing technical specifications,TravisCI
documentation,AWS
Python,Azure
lindear regression,GCP
logistic regression,developing web applications
decision trees,developing mobile applications
random forests,m.s
support vector machines,
Naïve Bayes,
neural networks,
clustering,
dimensionality reduction,
problem-solving,
b.s,
